,NOMBRE,ID_LIN_TRA,PROPIEDAD,TENSION_KV,ESTADO,F_OPERACIO,LONG_KM,PROVINCIA,geometry
0,ALTO JAHUEL - BUIN 220KV,262,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220.0,EN OPERACION,1988-01-01,0.02,MAIPO,"LINESTRING (-70.69247274599996 -33.71120547199996, -70.69241379899995 -33.71200557999998, -70.69312359799994 -33.712819026999966)"
1,ALTO JAHUEL - CHENA 3 Y 4,129,TRANSELEC S.A.,220.0,EN OPERACION,2015-06-15,27.37,SANTIAGO-MAIPO,"LINESTRING (-70.72644903299994 -33.52741920899996, -70.72680765299998 -33.52796088399998, -70.73001133199995 -33.52798859199993, -70.72961714399997 -33.53101397599994, -70.72702073999994 -33.54517365399994, -70.72688887299995 -33.54859153799998, -70.72620313199997 -33.561054759999934, -70.72559636699998 -33.580864040999984, -70.72310686699996 -33.586630259999936, -70.71894511299996 -33.596583857999974, -70.74160345999996 -33.64791129799994, -70.75002732299998 -33.703377726999975, -70.75302921599996 -33.70849469399997, -70.75452250799998 -33.71081377499996, -70.75424932599998 -33.711091952999936, -70.73532790099995 -33.70771225999994, -70.72422712999997 -33.705814723999936, -70.70929803399997 -33.707188490999954, -70.69311274799998 -33.70896695799996, -70.69343930499997 -33.71150678599997)"
2,NOGALES - RIO ACONCAGUA,1658,TRANSELEC S.A.,220.0,EN OPERACION,2011-01-01,83.59,QUILLOTA-SAN FELIPE DE ACONCAGUA,"LINESTRING (-71.22594998799997 -32.72081651299993, -71.22561410099996 -32.72046857999993, -71.22266870899995 -32.71194489499993, -71.22121476599995 -32.711109362999935, -71.21596703499995 -32.71261578999997, -71.21310553099994 -32.71331348999996, -71.20724278599994 -32.71493055199994, -71.20367737699996 -32.71460273899993, -71.19247072999997 -32.71881904099996, -71.18258045299996 -32.71824039999996, -71.18020474199994 -32.717839708999975, -71.17466952499996 -32.71753473699994, -71.16780347799994 -32.72259403399994, -71.16594464099995 -32.72676851099993, -71.16498917599995 -32.72849399199998, -71.15969263699998 -32.735978219999936, -71.15960749799996 -32.73690717799997, -71.15443848799998 -32.74475582699995, -71.15274548899998 -32.751799320999964, -71.14931105899996 -32.76132205699997, -71.14902567599995 -32.76471923199995, -71.14984437499999 -32.766595104999965, -71.13912170699996 -32.77666116699993, -71.13389386499995 -32.77898839699998, -71.12987511299997 -32.78524195199998, -71.12545788399996 -32.78798457999994, -71.11691738399998 -32.786661600999935, -71.11421840299994 -32.78615732499998, -71.08634751999995 -32.770395651999934, -71.06417745299996 -32.77512877899994, -71.06067289199996 -32.776571255999954, -71.04345015599995 -32.789176201999965, -71.02891511399997 -32.79498478199997, -71.01704263799996 -32.79839145599993, -71.01572887699996 -32.79945082599994, -71.00608187799997 -32.80158207599993, -71.00239162599996 -32.802845840999964, -71.00064768999994 -32.803434763999974, -70.99656194499994 -32.809831902999974, -70.99189007399997 -32.81568091999998, -70.98770141899996 -32.82002370899994)"
3,ALTO JAHUEL - MAIPO,4,ALFA TRANSMISORA DE ENERGÃA S.A.,220.0,EN OPERACION,2011-06-01,0.16,MAIPO,"LINESTRING (-70.69308806499998 -33.713786779999964, -70.69277045399997 -33.71468318999996, -70.69238003899994 -33.71512019299996)"
4,MAIPO - CANDELARIA,16,ALFA TRANSMISORA DE ENERGÃA S.A.,220.0,EN OPERACION,2005-06-03,46.32,CACHAPOAL-MAIPO,"LINESTRING (-70.61185597799994 -34.033281812999974, -70.61183851299995 -34.03117207699995, -70.61208501999994 -34.01704119799996, -70.61230660299998 -34.014206790999935, -70.61651096999998 -34.01150391999994, -70.62536181599995 -34.00604355799993, -70.62653592299995 -34.00253805199998, -70.63895511099997 -34.00143255599994, -70.64864435999993 -33.99067508299993, -70.64930195299996 -33.989221105999945, -70.65308737499998 -33.97842693999996, -70.65408194099996 -33.97550138199995, -70.65342202999994 -33.958339706999936, -70.63947933999998 -33.94929757199998, -70.63847716099997 -33.94469764099995, -70.64206626599997 -33.93813462099996, -70.64784836299998 -33.934404091999966, -70.64704757099997 -33.92470622899998, -70.63283354399994 -33.89394003999996, -70.62956096799996 -33.887946359999944, -70.61326376499994 -33.87343749899998, -70.59392520899996 -33.86353007099996, -70.58668780499994 -33.86416207299993, -70.57866206999995 -33.855789, -70.57249361099997 -33.833455723999975, -70.57425851699998 -33.820775426999944, -70.57484779599997 -33.817465728999935, -70.58710498499994 -33.80235185199996, -70.58997841199994 -33.79888022099993, -70.59882145999995 -33.79625708399993, -70.60337221999998 -33.79503639699993, -70.60427887099996 -33.79495228199994, -70.61372440999997 -33.78649286299998, -70.62439291299995 -33.776932761999944, -70.63782536399998 -33.764965262999965, -70.64252718099993 -33.763357792999955, -70.64592238399996 -33.762325647999944, -70.65116395599995 -33.756243032999976, -70.65414116599999 -33.75566260199997, -70.65603265999994 -33.755541121999954, -70.65904856599997 -33.75345009599994, -70.66366608599998 -33.750756025999976, -70.66458104999998 -33.74857748699998, -70.67242683699999 -33.735484380999935, -70.67691116199995 -33.732709160999946, -70.67979856299996 -33.73080580299995, -70.68030051599999 -33.730683118999934, -70.68375095899995 -33.72922382499996, -70.68514037099999 -33.72890149199998, -70.68563614899995 -33.72755676399993, -70.69211318299995 -33.72369052199997, -70.69274338799994 -33.72041894999995, -70.69199754699997 -33.71689126399997, -70.69193354999999 -33.716566962999934)"
5,NUEVA LAMPA - POLPAICO,1506,TRANSELEC S.A.,220.0,EN OPERACION,,29.93,CHACABUCO-SANTIAGO,"LINESTRING (-70.75820763399997 -33.31982938899995, -70.75455866799996 -33.32575707199993, -70.74415971499997 -33.34598983999996, -70.74284908599998 -33.34926481499997, -70.71817438699998 -33.36311317999997, -70.71875456799995 -33.36644015899998, -70.72025342099994 -33.36943143999997, -70.72972834199999 -33.38514775999994, -70.73210734299994 -33.39196281699998, -70.73527316799994 -33.40094458999994, -70.73381714299995 -33.410684371999935, -70.73319667699997 -33.413813775999984, -70.73285182799998 -33.421320563999984, -70.73264798299994 -33.42171164299998, -70.73157852699995 -33.42176070199997)"
6,CERRO NAVIA - NUEVA LAMPA,1507,TRANSELEC S.A.,220.0,EN OPERACION,,29.93,CHACABUCO,"LINESTRING (-70.85710266199999 -33.19640021099997, -70.85205398099998 -33.20423058999995, -70.84394394999998 -33.209774720999974, -70.82137200099999 -33.24109776199998, -70.82156269599994 -33.24245606499994, -70.79181045199994 -33.270763089999946, -70.76759726299997 -33.30105992999995, -70.76587037699994 -33.30418490699998, -70.75831967199997 -33.31964738599993, -70.75820763399997 -33.31982938899995)"
7,CHENA - CERRO NAVIA,780,TRANSELEC S.A.,220.0,EN OPERACION,2005-06-25,12.18,SANTIAGO-MAIPO,"LINESTRING (-70.73083417299995 -33.42272092699994, -70.73029950699998 -33.423366631999954, -70.73072916899997 -33.43347956599996, -70.73107680999993 -33.45600654799995, -70.73149344499996 -33.49384260099998, -70.73119988699995 -33.495295501999976, -70.73572859199999 -33.505261228999984, -70.73048880599998 -33.527668389999974, -70.72997239799997 -33.52786106599996, -70.72833873399998 -33.527877297999964, -70.72690384199996 -33.52790862499995, -70.72668119999997 -33.52737223699995)"
8,POLPAICO - QUILLOTA,203,TRANSELEC S.A.,220.0,EN OPERACION,2003-01-01,49.54,MARGA MARGA-CHACABUCO-QUILLOTA,"LINESTRING (-71.24930149699998 -32.95338468199998, -71.24123931299994 -32.95878435399993, -71.22948693999996 -32.95992561099996, -71.21835914499997 -32.971851571999935, -71.20273120899998 -32.989253822999956, -71.19654835099993 -32.99434111499994, -71.19564484899996 -32.997444884999936, -71.19516619799998 -33.000182061999965, -71.19405397899999 -33.00194022599993, -71.18558250899997 -33.00653235999994, -71.17527720499999 -33.01231652399997, -71.17292723499997 -33.01698059499995, -71.16648842499995 -33.01985855499993, -71.15399360799995 -33.02016008499993, -71.14141390499998 -33.02607179499995, -71.13553429799998 -33.03051888599998, -71.13186689499997 -33.032041109999966, -71.10824156799998 -33.04961892999995, -71.10402876199998 -33.05292626299996, -71.09257959899998 -33.05662871699997, -71.08007694599996 -33.06120265599998, -71.07334758799993 -33.06320826199993, -71.06812871399995 -33.06482870099995, -71.03790872399998 -33.056172156999935, -71.02797201699997 -33.05607934799997, -71.00818804199997 -33.05502949999993, -71.00751908399997 -33.05497321299998, -71.00045901899995 -33.056261165999956, -70.98863511999997 -33.05870294699997, -70.98566984499996 -33.05948713099997, -70.95888421499996 -33.07339610499997, -70.94269380899993 -33.08888147799996, -70.91521066399997 -33.14391105999994, -70.89342604399997 -33.17361624299997, -70.86914665099994 -33.19153461299993, -70.86620989599999 -33.192817554999976, -70.86307593699996 -33.19417088999995, -70.86013343799993 -33.195659932999945)"
9,ALTO JAHUEL - CHENA 1 Y 2,129,TRANSELEC S.A.,220.0,EN OPERACION,2005-06-22,32.87,MAIPO,"LINESTRING (-70.72688881999994 -33.527875549999976, -70.72692783799994 -33.52848971599997, -70.72710596499996 -33.53089849599996, -70.72514762299994 -33.53495654699998, -70.71889144699998 -33.53869953999998, -70.72362035299994 -33.54388539499996, -70.72615267599997 -33.54682187399993, -70.72709225799997 -33.54808060299996, -70.72700883899995 -33.55453560799998, -70.73566019199995 -33.559805230999984, -70.74387982499996 -33.55808165899998, -70.74567597099997 -33.56034111399998, -70.74580565999997 -33.56114001499998, -70.75132240699998 -33.567401271999984, -70.74818736699996 -33.56962531199997, -70.75175310999998 -33.57892842899997, -70.75191905099996 -33.57944479699995, -70.74790032799996 -33.58782957899996, -70.74550638299996 -33.593116478999946, -70.75410754899997 -33.60159075399997, -70.76521133999995 -33.61299682599997, -70.78446117999994 -33.625681275999966, -70.78385391899997 -33.62658931899995, -70.78157947699998 -33.62795092799996, -70.78057926499997 -33.628308525999955, -70.78167762599998 -33.63144295999996, -70.77863591899995 -33.63231744999996, -70.78119910999999 -33.63594286799997, -70.78433220099998 -33.642895591999945, -70.78774103799998 -33.647166366999954, -70.78675194999994 -33.647879133999936, -70.78831333299996 -33.64963275499997, -70.78685709999996 -33.65153314999998, -70.78425625099999 -33.655416069999944, -70.78413231499997 -33.657180221999965, -70.78351114199995 -33.66389374599993, -70.78601312299998 -33.66614503799997, -70.78671892899996 -33.66687422799998, -70.78778028399995 -33.67772140599993, -70.78444414399996 -33.68023702199997, -70.78302451699994 -33.68959181599996, -70.78338346199996 -33.69224304299996, -70.78266667399998 -33.692269247999945, -70.78270842299997 -33.693833567999945, -70.78129338199994 -33.69526420899996, -70.77623893199996 -33.69495072799998, -70.77257292199994 -33.69481190799996, -70.76676198099995 -33.694510209999976, -70.76220557699997 -33.69424810999993, -70.75770379599999 -33.69813903099998, -70.75040647699996 -33.704571947999966, -70.72313442199999 -33.700443349999944, -70.70235733499999 -33.70759087199997, -70.70019614899996 -33.70777133299998, -70.69443402999997 -33.70830756999993, -70.69424535699994 -33.70899639999993, -70.69369606299995 -33.71141243599993)"
